index,detect_ms,n_detections,scene_locked,battery_c
85,159.32,1,true,31.20
86,169.14,1,true,31.20
87,152.73,1,true,31.20
88,162.77,1,true,31.20
89,157.21,1,true,31.20
90,157.20,1,true,31.20
91,152.52,1,true,31.20
92,161.89,1,true,31.20
93,166.62,1,true,31.20
94,164.66,1,true,31.20
95,164.87,1,true,31.20
96,164.60,1,true,31.20
97,146.51,1,true,31.20
98,147.42,1,true,31.20
99,131.97,1,true,31.20
100,137.29,1,true,31.20
101,133.64,1,true,31.20
102,134.17,1,true,31.20
103,155.65,1,true,31.20
104,147.00,1,true,31.20
105,136.26,1,true,31.20
106,136.73,1,true,31.20
107,136.46,1,true,31.20
108,134.64,1,true,31.20
109,131.99,1,true,31.20
110,135.16,1,true,31.20
111,148.30,1,true,31.20
112,158.43,1,true,31.20
113,166.60,1,true,31.20
114,160.35,1,true,31.20
115,167.12,1,true,31.20
116,164.55,1,true,31.20
117,167.64,1,true,31.20
118,165.08,1,true,31.20
119,160.26,1,true,31.20
120,162.67,1,true,31.20
121,158.65,1,true,31.20
122,155.04,1,true,31.20
123,167.05,1,true,31.20
124,160.19,1,true,31.20
125,163.72,1,true,31.20
126,159.80,1,true,31.20
127,160.94,1,true,31.20
128,170.20,1,true,31.20
129,160.46,1,true,31.20
130,167.97,1,true,31.20
131,164.14,1,true,31.20
132,158.02,1,true,31.20
133,166.17,1,true,31.20
134,156.01,1,true,31.20
135,159.41,1,true,31.20
136,139.35,1,true,31.20
137,149.81,1,true,31.20
138,138.28,1,true,31.20
139,137.64,1,true,31.20
140,145.70,1,true,31.20
141,137.27,1,true,31.20
142,137.74,1,true,31.20
143,140.32,1,true,31.20
144,140.07,1,true,31.20
145,144.40,1,true,31.20
146,141.02,1,true,31.20
147,154.72,1,true,31.20
148,140.72,1,true,31.20
149,138.52,1,true,31.20
150,141.20,1,true,31.20
151,159.26,1,true,32.20
152,164.64,1,true,32.20
153,167.83,1,true,32.20
154,166.64,1,true,32.20
155,164.31,1,true,32.20
156,160.72,1,true,32.20
157,163.09,1,true,32.20
