conf,precision,recall,f1,map50
0.05,0.8089605909650356,0.7532449077359402,0.780109206132177,0.792608476273673
0.1,0.8089605909650356,0.7532449077359402,0.780109206132177,0.7715388398110712
0.15,0.8089605909650356,0.7532449077359402,0.780109206132177,0.7537787295187992
0.2,0.8089605909650356,0.7532449077359402,0.780109206132177,0.7389586077471879
0.25,0.8054103614216536,0.7559029855804635,0.7798717637110453,0.7243948158103682
0.3,0.8040713093753066,0.7518334288719738,0.7770754529177822,0.7100611874588509
0.35,0.8222582562359665,0.7339636341540113,0.7756061801814851,0.6959617861957043
0.4,0.8380819064993223,0.7166101859820025,0.7726006117727068,0.6818325945015806
0.45,0.8488393771097232,0.6987946272542209,0.7665435037657709,0.6668040532548029
0.5,0.86146441485822,0.6791777819101827,0.7595371484764191,0.6507698869127431
0.55,0.8726130036948265,0.6581526552878509,0.7503598765106038,0.63245834733225
0.6,0.8826976572490748,0.6352266584803209,0.7387892498359544,0.6129386501403027
0.65,0.8926954178382704,0.6107875322973755,0.7253121577539924,0.5914370566230195
0.7,0.9023194983775039,0.581402151926864,0.7071548736579151,0.565300140795375
0.75,0.9124946915482172,0.5447558183560506,0.6822255872431384,0.5326216403452116
0.8,0.9163020766941062,0.5047559102112411,0.6509359829255024,0.49519577809267834
0.85,0.9276847407132292,0.452219353566258,0.6080378998769008,0.4452440154354646
0.9,0.935433460725362,0.3604219111690661,0.5203523834503898,0.3570409755196322
0.95,0.876087946299981,0.13763194053298825,0.23789152347308026,0.136773086687381
